dbn,schoolname,rr_s,rr_t,rr_p,N_s,N_t,N_p,nr_s,nr_t,nr_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
02M212,P.S. 212 Midtown West,91,93,20,274,0,22,294,9.1,8.7,8.8,8.6,8.8,8.4,8.8,9.2,9,8.5,8.8,8.9
02M217,P.S./I.S. 217 Roosevelt Island,95,78,49,84,25,155,88,32,314,8.4,7.6,7.6,7.9,7.3,6,6.7,7.2,6.3,5.8,6.6,7.2,7.3,6.5,7,7.5
02M225,Ella Baker School,51,82,36,35,18,101,69,22,278,8.9,8.4,8.3,8.5,8.3,7.7,7.7,7.7,7.4,7.3,7.6,8.2,8.2,7.8,7.9,8.1
02M234,P.S. 234 Independence School,89,61,50,415,0,56,675,8.9,8.4,8.5,8.4,8.8,7.1,8.3,8.5,8.9,7.8,8.4,8.4
02M255,M.S. 255 Salk School of Science,95,89,50,366,24,188,386,27,374,8.7,8,8.1,8.5,8.6,7.8,8.8,9.3,7.9,7.6,8,8.3,8.4,7.8,8.3,8.7
02M260,M.S. 260 Clinton School Writers & Artists,94,80,38,255,16,103,272,20,268,8.3,7.6,7.8,7.8,6.5,3.5,5.7,6.8,7.4,6.4,7.3,7.8,7.4,5.8,7,7.4
02M267,P.S. 267,100,78,3,31,0,3,40,9.1,8.8,8.7,9,9.2,8.2,9.3,8.9,9.2,8.5,9,9
02M276,BATTERY PARK CITY SCHOOL,97,95,84,59,21,238,61,22,285,8.9,7.8,8,8,8.2,7.1,7.8,8.5,7.8,7.2,8.1,8.3,8.3,7.3,8,8.3
02M288,Food and Finance High School,86,100,57,348,35,229,407,31,405,7.6,7,6.9,7.6,7.3,7.1,7.8,7.7,6.2,5.7,6.1,7.2,7,6.6,6.9,7.5
02M289,I.S. 289,99,94,42,275,17,111,278,18,265,8.5,7.3,7.5,7.3,8.1,6.7,7.4,8.2,7.5,6.7,7.2,7.5,8,6.9,7.3,7.7
02M290,P.S. 290 Manhattan New School,98,65,45,337,0,46,518,8.9,8.4,8.4,8.5,9.1,7.9,8.9,9.1,9,8.2,8.7,8.8
02M294,Essex Street Academy,48,56,9,150,15,28,314,27,306,8.7,8.1,7.9,8.3,8,7.7,7.9,8.9,7.4,6.5,7.3,7.6,7.9,7.3,7.7,8.2
02M296,High School of Hospitality Management,61,96,56,233,27,204,385,28,365,8,7.3,7.1,7.5,8.6,8.1,8.7,8.9,7.1,6.5,7,7.4,7.9,7.3,7.6,8
02M298,Pace High School,96,100,46,392,29,184,407,29,401,7.5,7.1,6.9,7.5,6.6,6.3,6.8,7.1,6.6,6.2,6.7,7.5,6.9,6.6,6.8,7.4
02M300,"Urban Assembly School of Design and Construction,",92,85,34,349,23,124,381,27,366,8.6,7.9,7.7,8.1,7.3,6,6.9,7.5,6.5,5.7,6.1,7.2,7.5,6.5,6.9,7.6
02M303,"Facing History School, The",83,100,53,319,36,200,386,36,377,8.2,7.8,7.6,8,7.4,7.4,7.7,7.9,7,6.6,6.8,7.4,7.5,7.3,7.3,7.8
02M305,"Urban Assembly Academy of Government and Law, The",82,79,4,223,15,12,273,19,268,7.5,7.4,7.3,7.7,5.4,4.3,5.8,6,6,6,6,7.2,6.1,5.6,6.2,6.8
02M308,Lower Manhattan Arts Academy,78,54,15,240,13,45,307,24,299,7.8,7.4,7.3,7.4,7.4,7.5,7.7,8,6.6,5.8,6.7,7.3,7.3,6.9,7.2,7.6
02M312,New York City Lab Middle School for Collaborative,99,59,56,554,23,305,561,39,540,8.5,7.6,7.8,8,8.3,7.4,8,8.4,7.9,7.2,7.7,7.9,8.2,7.4,7.8,8.1
02M313,"James Baldwin School, The: A School for Expedition",70,100,27,146,18,55,210,18,203,8.5,8,7.8,7.9,7.5,7.5,7.9,8.3,7.6,7.4,7.4,8.2,7.9,7.6,7.7,8.1
02M316,"Urban Assembly School of Business for Young Women,",86,95,61,294,21,206,341,22,335,8.4,7.6,7.5,7.9,7,6.2,6.5,7.4,6.8,6.4,6.7,7.6,7.4,6.7,6.9,7.6
02M347,The 47 American Sign Language & English Lower Scho,90,80,39,53,35,72,59,44,183,8.9,8.3,8.4,8.5,7.9,7.9,8.1,8.2,7.4,7,7.6,8,8,7.7,8.1,8.2
02M374,Gramercy Arts High School,96,97,59,428,33,264,448,34,450,8.2,7.6,7.7,8.1,6.4,5.5,6.7,6.7,6.1,6,6.3,7.2,6.9,6.4,6.9,7.4
02M376,NYC iSchool,89,95,37,278,18,114,312,19,308,8.6,8.3,7.8,8,7.7,6.5,6.8,7.4,7.8,7,7.6,8.1,8,7.3,7.4,7.9
02M392,MANHATTAN BUSINESS ACADEMY,83,94,40,172,17,81,206,18,205,8.3,8,7.6,8.2,7.4,7.5,7.5,8.2,6.9,6.4,6.8,7.5,7.5,7.3,7.3,8
02M393,BUSINESS OF SPORTS SCHOOL,92,100,39,194,18,80,210,18,203,8.1,7.6,7.5,7.9,6.2,5.8,6.6,7,6.2,6.1,6.3,7,6.8,6.5,6.8,7.3
02M394,EMMA LAZARUS HIGH SCHOOL,93,93,67,228,13,149,244,14,221,8.9,7.8,7.6,8,8.2,6,7.2,7.8,8.2,7.1,7.3,8,8.4,7,7.4,7.9
02M397,SPRUCE STREET SCHOOL,100,72,7,73,0,7,101,9.4,8.7,8.7,8.9,8,4.7,5.6,6.7,8.7,6.7,7.1,7.8
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,84,50,36,123,7,52,147,14,144,8.1,7.3,7.1,7.3,6.3,3.2,4.1,5,6.6,5.7,6.3,6.9,7,5.4,5.8,6.4
02M400,High School for Environmental Studies,81,97,24,1114,69,323,1383,71,1351,8.3,7.6,7.6,7.7,7.3,6.4,7.1,7.4,7.1,6.2,7,7.8,7.6,6.7,7.2,7.6
02M407,Institute for Collaborative Education,95,93,45,464,25,203,487,27,450,8.3,8.2,8.2,8.5,8.1,8.1,8.8,9,7.5,7.8,7.9,8.3,8,8,8.3,8.6
02M408,Professional Performing Arts High School,86,100,31,408,23,141,477,23,456,8.1,7,7.1,7.1,7.8,7.6,8.4,7.9,7.1,5.9,6.5,7.2,7.7,6.9,7.3,7.4
02M411,Baruch College Campus High School,85,71,35,372,17,149,438,24,420,8.4,7.1,7.1,7.6,8,5.1,6,7.6,7.8,7,7,7.8,8.1,6.4,6.7,7.6
02M412,N.Y.C. Lab School for Collaborative Studies,93,100,45,482,34,227,520,34,504,8.4,8.2,7.9,8.1,7.8,7.7,7.5,8.3,7.5,6.9,7,7.7,7.9,7.6,7.5,8
02M413,School of the Future High School,83,40,31,540,19,191,650,47,620,8.4,7.7,8,8.3,7.5,6.3,7.5,8.1,7.1,6.8,6.9,7.7,7.6,7,7.5,8
02M414,N.Y.C. Museum School,99,97,67,428,28,282,431,29,419,8,6.7,6.8,7,6.8,4.7,4.9,5.7,7.1,6.1,6.7,7.4,7.3,5.8,6.1,6.7
02M416,Eleanor Roosevelt High School,85,75,37,423,24,177,497,32,474,9,8,8,8.5,8.2,7.1,7.9,8.6,8.1,7,7.4,8.2,8.5,7.4,7.8,8.4
02M418,Millennium High School,95,98,42,596,41,256,630,42,616,8.7,7.6,7.7,8,8.6,6.6,7.4,8.3,7.5,6.9,6.8,7.9,8.3,7,7.3,8.1
02M419,Landmark High School,79,100,40,328,29,161,417,28,404,8,6.9,6.7,7.3,7.2,5.4,7.1,7,6.7,6.2,6.2,7,7.3,6.2,6.7,7.1
02M420,High School for Health Professions and Human Servi,93,93,54,1536,81,881,1643,87,1622,7.6,7,7,7.3,7.7,7.2,7.6,7.9,6.5,5.5,6.1,7.1,7.3,6.6,6.9,7.4
02M422,Quest to Learn,84,75,25,108,9,31,128,12,125,8.1,7.9,7.8,7.7,8.1,8.3,8.4,8.4,6.8,7.1,6.8,7.5,7.7,7.8,7.7,7.8
02M425,Leadership and Public Service High School,63,72,7,378,31,40,601,43,587,7.7,7.1,7,7,6.8,6.6,6.7,7.3,6.1,5.4,6.1,6.9,6.7,6.2,6.5,7.1
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,95,100,39,82,8,32,86,8,82,9,8.6,8.1,8.3,9,9,9.7,9.6,7.7,6,7.3,7.6,8.6,7.8,8.4,8.5
02M429,Legacy School for Integrated Studies,77,84,37,244,26,112,317,31,302,7.5,7.3,7.1,7,7,6.5,6.9,7.2,6.1,5.8,6,7,6.9,6.5,6.7,7.1
02M432,MURRAY HILL ACADEMY,88,100,62,114,11,82,129,11,133,8.3,8,7.4,8.1,8.4,8.4,8.8,9.2,6.2,5.7,6.2,6.9,7.6,7.4,7.5,8.1
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,94,100,73,102,10,80,109,10,109,8.7,7.6,7.4,7.7,8.7,8.9,9.4,9.4,7,7,6.9,7.5,8.1,7.8,7.9,8.2
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,86,100,30,82,7,28,95,7,93,8.8,7.6,7.4,8.1,8.1,7.9,8.1,8.3,7.5,6.8,7.3,7.3,8.1,7.4,7.6,7.9
02M439,Manhattan Village Academy,99,96,41,425,27,169,431,28,411,9.5,8.9,8.3,9,8.7,7.3,7.3,8.6,7.6,6.4,6.9,7.9,8.6,7.5,7.5,8.5
02M440,Bayard Rustin Educational Complex,54,53,13,230,18,56,426,34,420,7.5,6.8,6.4,6.9,6.3,7.4,7.3,7.6,5.9,5.1,5.7,6.1,6.6,6.4,6.5,6.9
02M442,"Ballet Tech, NYC Public School for Dance",100,88,82,65,7,115,65,8,140,9,8.4,8,8.5,8.6,7.3,7.9,8.6,8.2,7.6,8.3,8.5,8.6,7.7,8.1,8.5
02M449,Vanguard High School,82,94,32,333,30,128,404,32,396,8.4,7.9,7.5,7.9,7.8,7.9,8.4,8.4,7,6.4,6.7,7.5,7.7,7.4,7.6,7.9
02M459,Manhattan International High School,93,100,56,295,22,165,316,22,295,8.8,7.8,7.4,7.9,7.7,6.5,7.4,7.7,7.8,6.8,6.9,7.6,8.1,7,7.3,7.7
02M460,Washington Irving High School,76,90,33,880,81,377,1158,90,1142,7.8,8,7.9,8,6.6,6.4,7.1,7.4,6,5.7,6.1,6.9,6.8,6.7,7,7.5
02M473,Washington Irving Yabc,58,92,8,75,24,10,130,26,132,8.7,7.6,7.3,8,8.5,8.5,8.9,8.7,7.8,6.1,7.2,7.6,8.3,7.4,7.9,8.1
02M475,Stuyvesant High School,93,95,33,3039,161,1062,3269,169,3176,8.4,7.5,7.7,7.7,7.2,5.6,6.1,7.2,7.5,6.2,7,7.9,7.7,6.4,6.9,7.6
02M489,High School of Economics and Finance,91,98,46,702,44,348,772,45,761,8.1,7.3,7.2,7.5,8.7,8.5,8.7,8.7,6.6,5.7,6,7.1,7.8,7.2,7.3,7.8
02M500,Unity Center for Urban Technologies,86,94,75,185,15,164,216,16,218,8.4,7.8,7.5,7.6,7.5,7,7.3,7.4,7.9,7.4,7.3,7.9,7.9,7.4,7.4,7.6
02M519,Talent Unlimited High School,90,74,40,437,20,193,487,27,480,8.2,7.2,7.2,7.4,6.9,5.4,6,6.4,7,6.2,6.8,7.5,7.4,6.3,6.7,7.1
02M520,Murry Bergtraum High School for Business Careers,75,59,9,1669,84,201,2228,142,2184,6.5,6.4,6.5,6.6,5.5,5.3,5.9,6.4,5.7,5.3,5.7,6.5,5.8,5.5,5.9,6.5
02M529,Jacqueline Kennedy Onassis High School,79,81,25,527,38,165,667,47,656,8.4,7.5,7.5,7.6,6.6,5.8,6.2,6.5,7.1,6,6.7,7.4,7.4,6.4,6.8,7.2
02M531,Repertory Company High School for Theatre Arts,93,91,44,194,10,91,208,11,207,8,6.8,7.1,6.7,5.9,5.3,6,6.2,5.9,5.6,5.7,6.5,6.6,5.9,6.3,6.5
02M542,Manhattan Bridges High School,94,100,83,480,37,396,511,37,478,8.8,8.2,7.6,8.4,7.6,6.6,7.5,8.2,7.2,6.2,6.7,7.5,7.9,7,7.3,8
02M543,New Design High School,80,72,12,321,23,45,402,32,391,8.4,7.8,7.5,8,7.3,5.6,6.9,7.1,7,6.3,6.8,7.4,7.6,6.6,7.1,7.5
02M544,Independence High School,30,66,18,108,19,59,360,29,324,9.7,9.6,9.1,9.7,6.1,3.8,5,5.8,9.2,9.3,9.5,9.5,8.3,7.6,7.9,8.4
02M545,High School for Dual Language and Asian Studies,0,68,49,19,158,334,28,324,8.6,7.1,7.1,7.4,7.5,5.6,5.8,6.8,7.9,6.2,6.3,6.9
02M550,Liberty High School Academy for Newcomers,91,72,64,349,26,227,382,36,357,8.6,7.8,7.4,8,7,4.7,5.3,6.5,7.7,6.3,7.1,7.5,7.7,6.3,6.6,7.3
02M551,New York Harbor School,71,92,45,276,35,172,389,38,380,8.3,7.6,7.5,8.1,6.4,6.2,6.9,7.3,6.8,6,6.7,7.4,7.2,6.6,7,7.6
02M560,High School M560 - City As School,41,79,15,199,30,72,487,38,481,8.9,7.9,8,8.1,8.5,8.3,8.6,8.6,8.6,7.2,7.9,8.5,8.6,7.8,8.2,8.4
02M565,Urban Academy Laboratory High School,99,100,83,153,16,123,154,16,149,10,9.6,9.4,10,9.3,8.3,9.6,9.5,9.1,8.3,8.7,9.3,9.5,8.7,9.2,9.6
02M570,Satellite Academy High School,54,86,6,99,12,12,184,14,185,8.9,7.8,7.9,8.4,9.3,8.6,9.4,9.1,8.1,7.1,7.8,7.9,8.8,7.8,8.5,8.5
02M575,Manhattan Comprehensive Night and Day High School,92,88,34,677,36,233,735,41,679,8.9,7.8,7.7,8.1,8.9,7.5,8.5,9,8.7,6.8,8.1,8.3,8.8,7.4,8.1,8.4
02M580,Richard R. Green High School of Teaching,93,83,37,519,38,198,558,46,542,8.2,7.6,7.2,7.6,7.8,7.4,7.7,8.2,6.6,5.7,6.4,7,7.5,6.9,7.1,7.6
02M586,Harvey Milk High School,64,100,66,39,9,41,61,8,62,8.8,7.3,7.2,7.6,6.7,4.9,5.7,6.2,7.4,6.9,7.6,8,7.6,6.4,6.8,7.3
02M600,The High School of Fashion Industries,94,91,17,1495,85,263,1592,93,1578,7.9,6.8,7.1,7.3,7.4,7.2,7.3,7.7,6.5,5.6,6.5,7.3,7.3,6.5,6.9,7.4
02M605,Humanities Preparatory Academy,71,100,31,129,14,55,182,14,175,7.7,6.7,6.8,7.2,7.4,5.6,7,7.5,7,6.7,6.6,7.3,7.4,6.3,6.8,7.3
02M615,Chelsea Career and Technical Education High School,97,89,28,468,32,134,482,36,477,8.4,7.6,7.4,7.9,7,5.8,6.1,7.1,6.5,5.8,6.3,7.3,7.3,6.4,6.6,7.4
02M620,Norman Thomas High School,23,79,30,368,78,478,1608,99,1576,7,6.8,6.8,7,6.3,6.3,6.2,6.7,6.2,5.6,6.1,6.8,6.5,6.2,6.4,6.9
02M625,High School of Graphic Communication Arts,75,66,24,1192,77,377,1599,116,1574,6.7,6.8,6.8,7,6.7,6.4,6.7,7.2,5.7,5.4,5.7,6.5,6.3,6.2,6.4,6.9
02M630,Art and Design High School,83,46,23,1019,39,280,1230,85,1225,8,6.9,7.2,7.1,8.1,6.4,7.1,7.8,6.7,5.9,6.5,7.2,7.6,6.4,6.9,7.4
02M655,Life Sciences Secondary School,73,45,14,474,23,90,645,51,624,8,7.3,7.3,7.6,7.3,6.6,7.2,7.7,5.9,5.7,6.4,6.9,7,6.5,7,7.4
02M896,Lower Manhattan Community Middle School,97,100,62,234,23,139,241,23,226,8.9,8.3,8.4,8.4,7,5.9,6.9,7.4,7,6.6,7,7.7,7.6,6.9,7.5,7.8
03M009,P.S. 009 Sarah Anderson,100,86,38,417,0,38,486,9.3,8.7,8.6,9,8.3,7.3,7.7,8.6,8.8,8,8.1,8.8
03M044,J.H.S. M044 William J. O'Shea,97,86,62,61,6,39,63,7,63,8.9,8.3,8.1,8.4,8.2,6.9,8.7,8.9,7.3,6.3,7.3,8,8.2,7.2,8,8.4
03M054,J.H.S. 054 Booker T. Washington,96,88,73,804,49,587,839,56,802,8.3,8,7.8,8.7,8,7.5,7.9,8.5,7.5,6.5,7.5,7.9,7.9,7.3,7.8,8.3
03M075,P.S. 075 Emily Dickinson,86,56,43,322,0,50,576,8.7,8.1,8.2,8.4,7.6,7.1,7.4,7.7,8.2,7.6,7.8,8.1
03M076,P.S. 076 A. Philip Randolph,96,97,74,101,36,294,105,37,395,9.1,8.6,8.6,8.6,8.3,8.3,8.5,8.9,7.9,7.1,8.4,8.9,8.4,8,8.5,8.8
03M084,P.S. 084 Lillian Weber,89,52,31,221,0,35,428,8.5,7.8,7.9,8,7,5.1,5.7,6.1,7.8,6.5,6.8,7.1
03M087,P.S. 087 William Sherman,90,46,57,372,0,63,803,8.5,8.1,8.2,8.1,7.4,5.3,6.2,6.4,7.9,6.7,7.2,7.3
03M145,"P.S. 145, The Bloomingdale School",62,65,26,243,0,42,376,9,8.3,8.2,8.4,7.2,5.7,5.8,6.9,8.1,7,7,7.6
03M149,P.S. 149 Sojourner Truth,98,59,51,104,20,172,106,34,334,8.6,8,7.9,8.4,6.5,5.8,6.6,6.8,6.2,6,6.7,7.6,7.1,6.6,7.1,7.6
03M163,P.S. 163 Alfred E. Smith,78,48,36,258,0,46,542,8.6,8.1,8.2,8.2,7.5,7.1,7,7.9,8.1,7.6,7.6,8.1
03M165,P.S. 165 Robert E. Simon,83,26,32,135,17,185,163,65,583,9,8.5,8.3,8.6,7.9,7.5,7.3,8.1,7,6.6,6.9,7.9,8,7.5,7.5,8.2
03M166,P.S. 166 The Richard Rodgers School of The Arts an,73,64,29,332,0,40,519,9,8.4,8.6,8.6,7.8,6.4,7.2,7.8,8.4,7.4,7.9,8.2
03M180,P.S. 180 Hugo Newman,100,100,50,80,50,236,80,50,472,9,8.5,8.3,8.6,7.6,7.7,7.7,8.4,7.8,6.5,7.9,8,8.1,7.6,7.9,8.3
03M185,P.S. 185 John M. Langston,95,91,21,197,0,22,217,9.2,8.5,8.4,8.8,7.6,6.8,6.9,7.4,8.4,7.7,7.7,8.1
03M191,P.S. 191 Amsterdam,88,73,64,159,27,257,181,37,401,8.3,7.6,7.5,7.8,6.6,5.7,6.2,7.2,6.3,6.5,6.7,7.8,7.1,6.6,6.8,7.6
03M199,P.S. 199 Jessie Isador Straus,36,46,18,282,0,50,607,8.7,8.2,8.5,8.4,8.7,6.4,7.5,8.1,8.7,7.3,8,8.2
03M208,P.S. 208 Alain L. Locke,95,88,18,177,0,19,201,8.7,8.1,8.2,8.3,7.7,7.1,7.8,8.1,8.2,7.6,8,8.2
03M241,P.S. 241 Family Academy,76,45,67,31,10,83,41,22,124,9.1,8.7,8.5,8.7,7,5.6,6.7,7,7.7,8.2,8,8.3,7.9,7.5,7.8,8
03M242,PS M242-Gwendolyn Powell Brown Computer School,100,45,25,75,0,25,168,8.8,8.2,8.2,8.3,7.3,6,6.4,6.7,8.1,7.1,7.3,7.5
03M243,M.S. 243 Center School,99,100,76,155,15,152,157,15,201,9.5,8.8,8.9,9.4,9,8.4,9,8.9,8.4,7.4,8.5,8.2,9,8.2,8.8,8.8
03M245,M.S. M245 The Computer School,92,38,47,367,9,185,401,24,391,8.8,8.4,8.2,8.2,9,8.3,9.3,9.6,7.9,6.9,7.7,8.3,8.6,7.9,8.4,8.7
03M247,M.S. M247 Dual Language Middle School,94,67,77,186,12,136,198,18,177,9.5,9.2,8.8,9.2,8.5,6.5,7.1,8.1,8.7,8,8.6,9.1,8.9,7.9,8.2,8.8
03M250,M.S. 250 West Side Collaborative Middle School,97,100,49,175,20,86,181,20,175,8.8,8,7.9,8.3,9,8.7,9.2,9.5,7.9,7.1,7.7,8.2,8.6,7.9,8.3,8.7
03M256,M.S. 256 Academic & Athletic Excellence,82,100,99,134,15,158,163,14,159,9.2,9.2,8.8,9.4,6.3,6.2,5.7,6.6,6.8,6.8,6.6,7.8,7.4,7.4,7,7.9
03M258,Community Action School - MS 258,87,87,20,214,20,48,245,23,237,8.9,8.3,7.8,8.4,7.8,7.7,7.9,8.6,7,6.3,7,7.6,7.9,7.4,7.6,8.2
03M283,Manhattan Theatre Lab High School,53,57,17,186,13,61,350,23,354,7,6.8,7,6.9,5.8,4.9,5.2,5.3,6.1,6,6.3,7,6.3,5.9,6.2,6.4
03M299,"High School for Arts, Imagination and Inquiry",91,96,14,344,27,51,379,28,364,7.6,7,6.8,7,6.5,5.8,6.1,6.5,6.5,5.8,6.4,7.1,6.9,6.2,6.4,6.9
03M307,"Urban Assembly School for Media Studies, The",80,96,22,263,25,71,330,26,324,8.7,7.9,7.8,8.4,7.8,7.9,7.9,8.2,6.9,6.2,7.1,7.6,7.8,7.4,7.6,8.1
03M333,P.S. 333 Manhattan School for Children,69,40,51,124,21,298,181,52,579,8.8,8.4,8.7,8.4,7.7,6.6,8,8.2,6.9,6.6,7.3,7.8,7.8,7.2,8,8.1
03M334,The Anderson School,100,89,79,192,24,387,192,27,489,8.8,8.6,8.4,9,8.3,7.3,8.1,8.8,7.7,7,7.9,8.5,8.3,7.6,8.1,8.8
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,53,30,27,93,6,48,177,20,176,8.2,7.9,7.7,8,4.4,4.2,5.2,5.7,6.3,6.4,6.3,7.2,6.3,6.2,6.4,7
03M403,THE GLOBAL LEARNING COLLABORATIVE,79,100,24,162,16,47,204,16,200,8.5,7.9,7.7,7.6,7.2,7.6,8.3,8.2,7,6.7,7.1,7.4,7.6,7.4,7.7,7.7
03M404,INNOVATION DIPLOMA PLUS,73,100,21,147,13,41,201,12,200,9.1,8.4,8,8.7,6.8,5.8,6.4,7,7.3,6.4,6.8,7.5,7.7,6.8,7.1,7.7
03M415,Wadleigh Secondary School for the Performing & Vis,71,68,55,336,27,262,474,40,478,7.6,6.9,7.1,7.1,6.1,5.2,5.9,6.1,6,5.5,5.9,6.6,6.5,5.9,6.3,6.6
03M417,FRANK McCOURT HIGH SCHOOL,98,100,47,97,8,47,99,8,99,8.4,7.6,7.3,7.6,6.9,7,7,7.9,7.3,7.3,7.1,7.7,7.5,7.3,7.2,7.8
03M421,WEST PREP ACADEMY,79,70,74,85,7,76,107,10,103,8,7.3,7.1,7.3,5.3,5.4,5.7,5.4,5.6,6.4,6.6,7.7,6.3,6.4,6.5,6.8
03M452,P.S. 452,100,78,5,42,0,5,54,9.2,8.9,9,9,9,7.8,8.4,8.6,9.1,8.3,8.7,8.8
03M470,Louis D. Brandeis High School,65,47,2,400,22,15,618,47,607,6.8,6.4,6.8,7.2,7.4,7.3,7.4,8.1,6.3,5.5,6.1,6.6,6.8,6.4,6.8,7.3
03M479,Beacon High School,82,80,39,934,43,440,1145,54,1116,8.6,7.9,7.9,8.3,7.5,6.2,6.7,7.5,7.8,7.2,7.6,8.2,8,7.1,7.4,8
